collected_at,streams,streams_en,viewers,viewers_en
2026-09-01T00:06:26+00:00,43,36,620,187
2026-09-01T00:33:59+00:00,54,46,671,184
2026-09-01T00:53:39+00:00,55,47,691,225
2026-09-01T01:04:26+00:00,60,52,714,250
2026-09-01T01:21:54+00:00,61,55,696,225
2026-09-01T01:34:37+00:00,55,50,664,199
2026-09-01T01:48:57+00:00,54,50,643,174
2026-09-01T02:03:24+00:00,48,44,620,158
2026-09-01T02:22:39+00:00,51,47,615,176
2026-09-01T02:35:33+00:00,50,46,667,205
2026-09-01T02:48:43+00:00,42,39,579,166
2026-09-01T03:04:22+00:00,40,39,197,196
2026-09-01T03:24:21+00:00,41,39,185,183
2026-09-01T03:36:47+00:00,45,42,240,215
2026-09-01T03:50:12+00:00,45,43,211,209
2026-09-01T04:04:07+00:00,42,40,190,188
2026-09-01T04:23:23+00:00,37,36,209,208
2026-09-01T04:36:22+00:00,36,34,218,215
2026-09-01T04:49:16+00:00,37,35,238,232
2026-09-01T05:03:45+00:00,42,40,206,200
2026-09-01T05:22:27+00:00,42,40,211,206
2026-09-01T05:35:44+00:00,41,37,275,219
2026-09-01T05:48:30+00:00,36,33,275,223
2026-09-01T06:05:18+00:00,35,33,277,217
2026-09-01T06:29:33+00:00,34,31,239,154
2026-09-01T06:45:33+00:00,32,29,221,144
2026-09-01T07:04:18+00:00,35,32,228,146
2026-09-01T07:23:57+00:00,30,27,203,115
2026-09-01T07:36:27+00:00,29,27,177,108
2026-09-01T07:49:42+00:00,27,24,195,105
2026-09-01T08:04:26+00:00,25,22,186,102
2026-09-01T08:26:01+00:00,22,18,161,92
2026-09-01T08:38:49+00:00,22,18,156,81
2026-09-01T08:50:57+00:00,23,20,192,116
2026-09-01T09:04:01+00:00,21,18,150,78
2026-09-01T09:24:21+00:00,19,16,135,55
2026-09-01T09:37:31+00:00,19,16,129,53
2026-09-01T09:51:18+00:00,21,17,130,51
2026-09-01T10:04:19+00:00,22,18,140,58
2026-09-01T10:27:11+00:00,19,15,129,55
2026-09-01T10:40:12+00:00,17,13,119,50
2026-09-01T10:51:01+00:00,15,11,119,48
2026-09-01T11:03:55+00:00,15,10,124,48
2026-09-01T11:22:53+00:00,13,7,109,37
2026-09-01T11:35:30+00:00,14,7,81,35
2026-09-01T11:48:30+00:00,13,7,86,35
2026-09-01T12:05:24+00:00,14,7,123,70
2026-09-01T12:29:12+00:00,18,9,92,73
2026-09-01T12:44:37+00:00,20,10,101,77
2026-09-01T12:56:31+00:00,18,9,90,64
2026-09-01T13:06:52+00:00,19,8,64,27
2026-09-01T13:24:01+00:00,20,9,80,40
2026-09-01T13:36:23+00:00,21,11,82,45
2026-09-01T13:49:46+00:00,21,11,88,45
2026-09-01T14:04:18+00:00,21,12,101,64
2026-09-01T14:24:51+00:00,21,13,88,63
2026-09-01T14:37:34+00:00,27,16,157,129
2026-09-01T14:54:38+00:00,27,17,161,130
