collected_at,streams,streams_en,viewers,viewers_en
2026-09-01T15:03:47+00:00,30,18,199,165
2026-09-01T15:42:23+00:00,33,21,239,200
2026-09-01T16:26:22+00:00,37,22,267,220
2026-09-01T16:47:39+00:00,39,22,520,462
2026-09-01T17:04:19+00:00,41,25,570,515
2026-09-01T17:22:27+00:00,50,30,603,535
2026-09-01T17:34:01+00:00,51,30,1338,1237
2026-09-01T17:47:24+00:00,53,33,1377,1255
2026-09-01T18:04:57+00:00,58,37,1329,1196
2026-09-01T18:27:20+00:00,51,30,1087,948
2026-09-01T18:40:15+00:00,53,33,1108,951
2026-09-01T18:51:05+00:00,51,34,1107,946
2026-09-01T19:03:32+00:00,50,34,1119,967
2026-09-01T19:20:51+00:00,46,33,1139,977
2026-09-01T19:32:54+00:00,46,33,1166,1011
2026-09-01T19:47:30+00:00,43,31,1142,1010
2026-09-01T20:04:21+00:00,41,29,1118,1008
2026-09-01T20:22:31+00:00,45,36,1130,1033
2026-09-01T20:35:22+00:00,44,35,1119,1019
2026-09-01T20:48:43+00:00,44,36,1116,1037
2026-09-01T21:04:04+00:00,43,36,1055,986
2026-09-01T21:21:59+00:00,44,36,1071,1010
2026-09-01T21:34:42+00:00,45,36,1126,1043
2026-09-01T21:47:48+00:00,51,42,1086,1016
2026-09-01T22:03:51+00:00,49,41,1065,995
2026-09-01T22:21:01+00:00,47,39,1007,983
2026-09-01T22:34:29+00:00,47,39,1001,981
2026-09-01T22:47:24+00:00,44,37,920,900
2026-09-01T23:03:46+00:00,43,38,884,870
2026-09-01T23:19:25+00:00,45,40,911,897
2026-09-01T23:32:27+00:00,41,36,885,868
2026-09-01T23:47:26+00:00,46,40,889,872
2026-09-02T00:06:22+00:00,48,42,1012,996
2026-09-02T00:32:05+00:00,50,45,950,936
2026-09-02T00:51:38+00:00,50,45,353,325
2026-09-02T01:03:33+00:00,52,47,376,350
2026-09-02T01:20:48+00:00,55,50,349,317
2026-09-02T01:34:39+00:00,51,46,324,298
2026-09-02T01:59:12+00:00,54,50,367,343
2026-09-02T02:20:22+00:00,50,46,330,306
2026-09-02T02:44:06+00:00,35,31,279,272
2026-09-02T02:55:18+00:00,36,31,257,244
2026-09-02T03:04:02+00:00,40,34,271,260
2026-09-02T03:22:37+00:00,34,28,217,205
2026-09-02T03:35:52+00:00,31,26,221,210
2026-09-02T03:48:47+00:00,27,22,206,198
2026-09-02T04:04:07+00:00,27,23,198,188
2026-09-02T04:25:06+00:00,31,27,229,221
2026-09-02T04:36:54+00:00,28,25,230,225
2026-09-02T04:49:45+00:00,27,24,221,216
2026-09-02T05:03:44+00:00,29,27,250,245
2026-09-02T05:26:05+00:00,34,30,319,311
2026-09-02T05:38:27+00:00,33,30,306,302
2026-09-02T05:49:48+00:00,33,31,296,294
2026-09-02T06:33:18+00:00,33,31,333,326
2026-09-02T06:53:17+00:00,30,28,331,325
2026-09-02T07:04:10+00:00,30,28,169,161
2026-09-02T07:23:37+00:00,33,30,220,174
2026-09-02T07:35:34+00:00,29,26,208,168
2026-09-02T07:49:28+00:00,27,25,202,165
2026-09-02T08:04:31+00:00,26,23,193,159
2026-09-02T08:25:23+00:00,26,21,250,214
2026-09-02T08:37:08+00:00,26,20,233,194
2026-09-02T08:50:32+00:00,25,18,202,149
2026-09-02T09:04:15+00:00,24,18,219,165
2026-09-02T09:24:01+00:00,20,14,190,140
2026-09-02T09:36:11+00:00,20,14,154,107
2026-09-02T09:49:45+00:00,18,13,150,103
2026-09-02T10:04:38+00:00,19,13,126,82
2026-09-02T10:24:43+00:00,20,13,129,85
2026-09-02T10:36:27+00:00,17,11,111,71
2026-09-02T10:49:45+00:00,16,10,110,65
2026-09-02T11:03:58+00:00,15,9,97,56
2026-09-02T11:23:01+00:00,17,10,102,54
2026-09-02T11:35:42+00:00,16,10,110,64
2026-09-02T11:48:39+00:00,14,9,102,58
2026-09-02T12:05:26+00:00,16,11,103,58
2026-09-02T12:29:33+00:00,19,11,119,63
2026-09-02T12:45:20+00:00,21,12,134,66
2026-09-02T13:04:07+00:00,24,13,129,64
2026-09-02T13:24:45+00:00,18,10,87,65
2026-09-02T13:37:08+00:00,19,11,116,91
2026-09-02T13:50:32+00:00,19,12,87,75
2026-09-02T14:04:12+00:00,17,10,69,53
2026-09-02T14:23:57+00:00,20,13,77,68
2026-09-02T14:37:08+00:00,18,12,83,74
2026-09-02T14:51:29+00:00,19,12,87,78
2026-09-02T15:09:17+00:00,24,16,84,75
2026-09-02T15:28:21+00:00,23,15,91,76
2026-09-02T15:43:05+00:00,30,19,111,91
2026-09-02T15:54:09+00:00,29,18,121,97
2026-09-02T16:04:07+00:00,31,21,126,102
2026-09-02T16:24:59+00:00,32,22,127,99
2026-09-02T16:37:27+00:00,34,22,133,98
2026-09-02T16:51:01+00:00,38,25,139,101
2026-09-02T17:03:52+00:00,39,26,150,118
2026-09-02T17:21:59+00:00,38,25,152,115
2026-09-02T17:33:56+00:00,39,25,147,110
2026-09-02T17:47:35+00:00,41,26,153,121
2026-09-02T18:05:02+00:00,41,26,161,126
2026-09-02T18:27:00+00:00,42,28,155,122
2026-09-02T18:39:18+00:00,47,31,180,134
2026-09-02T18:50:33+00:00,41,28,611,582
2026-09-02T19:03:40+00:00,45,30,680,643
2026-09-02T19:21:00+00:00,46,31,669,629
2026-09-02T19:32:37+00:00,43,29,628,588
2026-09-02T19:47:17+00:00,40,27,627,587
2026-09-02T20:04:19+00:00,37,26,611,576
2026-09-02T20:23:57+00:00,41,29,833,650
2026-09-02T20:36:17+00:00,39,29,888,610
2026-09-02T20:49:29+00:00,34,24,875,585
2026-09-02T21:03:57+00:00,39,29,894,565
2026-09-02T21:21:57+00:00,42,32,1008,645
2026-09-02T21:34:53+00:00,43,33,608,243
2026-09-02T21:48:11+00:00,44,34,609,247
2026-09-02T22:04:04+00:00,41,32,648,244
2026-09-02T22:22:04+00:00,43,34,650,255
2026-09-02T22:36:08+00:00,41,34,654,232
2026-09-02T22:48:20+00:00,46,39,684,266
2026-09-02T23:03:41+00:00,47,41,585,284
2026-09-02T23:20:38+00:00,42,38,528,192
2026-09-02T23:33:35+00:00,43,38,481,152
2026-09-02T23:47:43+00:00,43,38,488,141
2026-09-03T00:06:43+00:00,42,37,492,135
2026-09-03T00:33:39+00:00,48,44,525,165
2026-09-03T00:52:43+00:00,51,47,599,204
2026-09-03T01:03:45+00:00,50,46,561,174
2026-09-03T01:26:38+00:00,51,46,569,173
2026-09-03T01:38:39+00:00,52,47,592,167
2026-09-03T01:50:08+00:00,50,45,588,168
2026-09-03T02:08:26+00:00,54,49,640,185
2026-09-03T05:05:55+00:00,41,38,205,200
2026-09-03T05:42:04+00:00,32,30,106,104
2026-09-03T05:57:55+00:00,28,26,95,92
2026-09-03T06:14:14+00:00,28,25,102,82
2026-09-03T06:33:39+00:00,24,20,108,66
2026-09-03T06:52:38+00:00,22,18,98,46
2026-09-03T07:05:13+00:00,23,20,104,50
2026-09-03T07:24:12+00:00,22,18,109,52
2026-09-03T07:36:47+00:00,23,18,95,38
2026-09-03T07:50:06+00:00,22,16,91,38
2026-09-03T08:04:21+00:00,20,16,86,30
2026-09-03T08:25:47+00:00,20,16,90,26
2026-09-03T08:38:42+00:00,21,17,89,30
2026-09-03T08:51:35+00:00,17,13,80,22
2026-09-03T09:04:11+00:00,14,10,73,11
